seed,coverage_std,coverage_adp,improvement
0,0.8891666531562805,0.9290000200271606,0.03983336687088013
1,0.8858333230018616,0.8840000033378601,-0.0018333196640014648
2,0.8916666507720947,0.8889999985694885,-0.002666652202606201
3,0.8941666483879089,0.8939999938011169,-0.0001666545867919922
4,0.9133333563804626,0.9200000166893005,0.006666660308837891
